"","Population","Locus","p-value"
"1","GUAT","CCMIC6a",0
"2","MEX","CCMIC6a",0
"3","COL","CCMIC6a",0
"4","HAW","CCMIC6a",0
"5","AUS","CCMIC6a",0
"6","AFRI","CCMIC6a",0
"7","MED","CCMIC6a",0
"8","SAME","CCMIC6a",0
"9","CAME","CCMIC6a",0
"10","GUAT","CCMIC14a",0
"11","MEX","CCMIC14a",0
"12","COL","CCMIC14a",0
"13","MED","CCMIC14a",0
"14","SAME","CCMIC14a",0
"15","CAME","CCMIC14a",0
"16","GUAT","CCMIC15a",0
"17","MEX","CCMIC15a",0
"18","COL","CCMIC15a",0
"19","MED","CCMIC15a",0.001
"20","SAME","CCMIC15a",0
